ZONE,SD_TRANS_ALLMETERS_P_AREA,SUB_AREA,POLE,POLE_TYPE,POLE_STATUS,METER_TYPE,HOUSING_TYPE,VAULT_CAPACITY,MECH_KEY,VAULT_KEY,RFID,RFID_MATCH,TERMINAL,LOCATION,LATITUDE,LONGITUDE,CONTRACT_TYPE,SET_F_W_VERSION,REPORTED_F_W_VERSION,SET_IO_F_W_VERSION,REPORTED_IO_F_W_VERSION,CONFIG_ID,CONFIG_NAME,COLLECTION_ROUTE,COLLECTION_SUB_ROUTE,ORIGINAL_METER_INSTALL_DATE,TERMINAL_INSTALL_DATE,STREET_SIDE,STREET_DIRECTION,STREET_ADDRESS,DOME_COLOUR,BLOCK_NUMBER,ENFORCEMENT_ROUTE,MAINTENANCE_ROUTE,CARRIER,WARRANTY_EXPIRY
AUR,5th St - AUR,1300 5th St,5-1320,None,Active,MK 3,795,-50,None,None,14657073,Yes,127172,Assigned to pole,39.742959,-105.011042,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2017-01-30 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2013-12-20 00:00:00
AUR,5th St - AUR,1300 5th St,5-1322,None,Active,MK 5,795,-50,None,None,14656FCD,Yes,358305,Assigned to pole,39.743004,-105.011078,None,52.73.0,52.73.0,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2018-03-28 00:00:00,None,None,5th St,None,1300,None,TECH220,Verizon,2017-12-14 00:00:00
AUR,5th St - AUR,1300 5th St,5-1323,None,Active,MK 3,795,-50,None,None,146577F6,Yes,30034,Assigned to pole,39.743037,-105.010885,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2015-02-19 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2011-02-26 00:00:00
AUR,5th St - AUR,1300 5th St,5-1325,None,Active,MK 5,795,-50,None,None,146570BF,Yes,215460,Assigned to pole,39.743128,-105.010954,None,52.73.0,52.73.0,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2016-09-28 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2016-10-13 00:00:00
AUR,5th St - AUR,1300 5th St,5-1326,None,Active,MK 3,795,-50,None,None,14656FDF,Yes,138031,Assigned to pole,39.743099,-105.011151,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2015-01-21 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2016-03-01 00:00:00
AUR,5th St - AUR,1300 5th St,5-1327,None,Active,MK 3,795,-50,None,None,146570C3,Yes,130013,Assigned to pole,39.743134,-105.010959,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2014-12-09 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2014-01-10 00:00:00
AUR,5th St - AUR,1300 5th St,5-1328,None,Active,MK 3,795,-50,None,None,14656F9E,Yes,128118,Assigned to pole,39.743102,-105.011154,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2016-02-16 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2013-12-18 00:00:00
AUR,5th St - AUR,1300 5th St,5-1329,None,Active,MK 3,795,-50,None,None,14657001,Yes,36294,Assigned to pole,39.743223,-105.011024,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2018-08-20 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2011-12-15 00:00:00
AUR,5th St - AUR,1300 5th St,5-1330,None,Active,MK 3,795,-50,None,None,1465719E,Yes,136985,Assigned to pole,39.743189,-105.011223,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2015-01-13 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2016-03-01 00:00:00
AUR,5th St - AUR,1300 5th St,5-1331,None,Active,MK 3,795,-50,None,None,14656F80,Yes,76979,Assigned to pole,39.743228,-105.011029,None,32.73.2,32.73.2,None,None,5690,AUR01 $1.00hr 5hr 8a-10p,AUR01,None,2010-05-04 00:00:00,2018-08-20 00:00:00,None,None,5th St,None,1300,None,TECH220,T-Mobile,2012-06-16 00:00:00
